                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.85579,                0.59212,                 1.0309,                0.81256,                 0.7488,                  0.802,                0.46735,                 1.5296,                 1.4727,                 1.7042,             0.00088552,             0.00088552,             0.00088552
                    125,                0.82794,                0.57446,                 1.0095,                0.88045,                0.70183,                0.81316,                0.45725,                 1.5771,                 1.4794,                 1.7332,             0.00088369,             0.00088369,             0.00088369
                    126,                0.87186,                0.58793,                  1.037,                0.80993,                0.75095,                0.81901,                0.45309,                 1.6058,                 1.5256,                 1.7401,             0.00088186,             0.00088186,             0.00088186
                    127,                 0.8877,                0.58988,                 1.0102,                0.81394,                0.71289,                0.81981,                0.46095,                 1.6041,                 1.5448,                  1.753,             0.00088002,             0.00088002,             0.00088002
                    128,                0.83544,                0.57556,                 1.0108,                0.82542,                 0.7477,                0.84003,                0.48254,                 1.5861,                 1.4245,                 1.7635,             0.00087819,             0.00087819,             0.00087819
                    129,                0.86626,                 0.5917,                 1.0336,                0.86835,                0.69384,                0.83201,                0.47124,                 1.6465,                 1.5326,                 1.8442,             0.00087636,             0.00087636,             0.00087636
                    130,                0.90749,                0.59282,                 1.0426,                 0.8764,                0.70831,                0.81349,                0.45308,                 1.6876,                 1.5517,                 1.8838,             0.00087452,             0.00087452,             0.00087452
                    131,                0.89389,                 0.5914,                 1.0374,                0.89067,                0.70621,                0.81749,                0.46571,                 1.7151,                 1.5743,                 1.8973,             0.00087269,             0.00087269,             0.00087269
                    132,                0.85572,                0.59399,                 1.0302,                0.76634,                0.77033,                0.80939,                0.47051,                 1.6807,                 1.6109,                 1.8786,             0.00087086,             0.00087086,             0.00087086
                    133,                 0.9083,                0.59249,                 1.0288,                0.78405,                0.76688,                0.79285,                0.45717,                 1.6629,                 1.6425,                 1.8789,             0.00086902,             0.00086902,             0.00086902
                    134,                0.84271,                0.56678,                 1.0119,                0.78059,                0.68887,                 0.7617,                0.44008,                 1.7116,                 1.7034,                  1.912,             0.00086719,             0.00086719,             0.00086719
                    135,                 0.8338,                0.54259,                0.99404,                0.79093,                0.73741,                0.77574,                 0.4477,                 1.6954,                 1.6632,                 1.9023,             0.00086536,             0.00086536,             0.00086536
                    136,                0.84877,                0.55502,                 1.0161,                 0.8208,                0.67293,                0.78284,                0.44984,                 1.7132,                 1.4945,                 1.8922,             0.00086352,             0.00086352,             0.00086352
                    137,                0.81729,                0.55036,                0.99036,                0.74529,                0.79048,                0.79468,                0.45624,                 1.6972,                   1.48,                 1.8572,             0.00086169,             0.00086169,             0.00086169
                    138,                0.84139,                0.56133,                 1.0077,                0.77833,                0.74009,                0.78346,                0.44507,                 1.6946,                 1.4935,                 1.8599,             0.00085986,             0.00085986,             0.00085986
                    139,                0.86072,                0.58657,                 1.0248,                0.83593,                0.70134,                0.78912,                 0.4524,                  1.657,                 1.5829,                  1.845,             0.00085803,             0.00085803,             0.00085803
                    140,                0.85678,                0.57443,                 1.0083,                0.82745,                  0.711,                0.78995,                0.45287,                 1.6226,                 1.5633,                 1.8243,             0.00085619,             0.00085619,             0.00085619
                    141,                0.85677,                0.57646,                 1.0451,                0.78253,                0.72292,                0.80164,                0.44608,                 1.6318,                  1.476,                 1.8353,             0.00085436,             0.00085436,             0.00085436
                    142,                0.93982,                0.57499,                 1.0341,                0.79823,                0.66013,                0.78485,                0.42806,                 1.6467,                 1.4102,                 1.8445,             0.00085253,             0.00085253,             0.00085253
                    143,                0.83698,                0.53514,                 1.0005,                 0.8255,                0.71179,                0.80645,                0.44375,                  1.647,                 1.3016,                 1.8423,             0.00085069,             0.00085069,             0.00085069
                    144,                0.85596,                0.55004,                 1.0027,                0.81897,                0.75764,                0.81199,                0.45294,                  1.658,                 1.2972,                 1.8547,             0.00084886,             0.00084886,             0.00084886
                    145,                0.88049,                0.57167,                 1.0313,                0.75974,                  0.797,                0.81472,                0.44113,                 1.6907,                   1.29,                 1.8805,             0.00084703,             0.00084703,             0.00084703
                    146,                0.83104,                0.53602,                0.98978,                 0.8332,                0.71264,                0.81535,                0.46101,                 1.7017,                 1.3066,                 1.9033,             0.00084519,             0.00084519,             0.00084519
                    147,                0.82449,                0.54156,                 1.0145,                 0.7801,                0.78649,                0.82018,                0.46879,                 1.6611,                 1.3517,                 1.8486,             0.00084336,             0.00084336,             0.00084336
                    148,                0.83366,                 0.5362,                  1.024,                0.78043,                0.78242,                0.81431,                0.45966,                 1.6235,                 1.3931,                 1.7901,             0.00084153,             0.00084153,             0.00084153
